AuthorName,aPublication,coAuthor,yearsInField,venueImpact,h-Index,i10-Index,aRefs,TotalCitation,CitationsPerYear
Vinu Vijay Kumar,2,3.5,4,33.25,6,4,2.25,79,19.75
Violet R. Syrotiuk,3.615384615,9.692307692,22,86.61538462,14,19,9.384615385,2027,92.13636364
Violeta Felea,1.125,2.75,8,17.75,4,1,0.75,36,4.5
Vipin Chaudhary,4.176470588,10.70588235,19,78.58823529,18,25,6,1191,62.68421053
Vipin Kumar,7,26.75,30,200.2857143,65,132,23.82142857,21908,730.2666667
Vipin Mohan,1,4,1,12,1,1,0,10,10
Vipin Sachdeva,1.25,8.5,4,29.25,3,3,1.25,160,40
Vipparla Chandrakanth,0,1,1,0,0,0,0,0,0
Vipul Garg,2,10,1,24,1,0,0,2,2
Vipul Gupta,2.181818182,6.636363636,16,55.90909091,14,14,2.363636364,1763,110.1875
Vipul Hingne,2,7,1,53,2,2,6,74,74
Vipul Singhal,1,3,2,22,2,1,0.5,22,11
Viraj Athavale,0,13,1,0,0,0,0,0,0
Viraphol Chaiyakul,1.333333333,3.5,10,35.66666667,7,6,1.5,309,30.9
Virat Agarwal,2.5,19.5,2,64,5,5,20,208,104
Virendra C. Bhavsar,1.153846154,2.846153846,22,22.61538462,7,6,1.538461538,267,12.13636364
Virendra J. Marathe,3,11.75,4,75.25,8,8,23.5,615,153.75
Virendra Singh,1.5,38,4,26.75,5,4,11.75,64,16
Viresh Paruthi,1.428571429,8.714285714,9,34.14285714,9,9,4,636,70.66666667
Virgil Andronache,1.5,2.166666667,7,29.5,4,4,2,122,17.42857143
Virgil D. Gligor,3.321428571,7.035714286,31,86.78571429,36,54,4.928571429,6609,213.1935484
Virgilio Almeida,2.5,12.4375,28,60.3125,17,21,9.4375,1791,63.96428571
Virgilio Gilart-Iglesias,2.5,15.75,4,39.5,4,1,0.75,45,11.25
Virginia Mary Lo,2.117647059,4.352941176,23,54.64705882,21,27,3.882352941,2532,110.0869565
Virginia Niculescu,1.4,0.4,6,26,2,0,2,20,3.333333333
Virginie Fresse,2,8,9,55,3,1,0.4,25,2.777777778
Virginie Wiels,1.666666667,6.333333333,13,28.58333333,9,9,2.833333333,238,18.30769231
Vish Visvanathan,1,9,1,12,0,0,0,0,0
Vishak Venkatraman,1.666666667,5.666666667,3,24,4,3,3.666666667,158,52.66666667
Vishal Bhagwati,1,1,1,32,1,1,5,36,36
Vishal Dalal,1,1,1,12,1,1,0,33,33
Vishal Gupta,2,12.25,5,40.5,3,1,5,25,5
Vishal J. Mehta,1.666666667,6.333333333,6,28,4,1,3,36,6
Vishal Karna,1,4,1,12,1,1,0,16,16
Vishal Khandelwal,3.5,7.666666667,6,81.66666667,11,11,17,456,76
Vishal P. Bhatt,1,2,1,12,1,0,5,5,5
Vishal Saluja,1,4,1,32,0,0,0,0,0
Vishal Shah,1.5,5.5,12,56.25,4,3,3,444,37
Vishal Suhas Choudhary,1,1,1,34,1,1,0,22,22
Vishal Suthar,1.5,2.5,5,38.25,5,3,10,55,11
Vishesh M. Parikh,1,4,1,42,1,1,8,200,200
Vishnu A. Patankar,1,2,1,12,1,1,0,36,36
Vishnu C. Vimjam,2.333333333,5.333333333,3,39.33333333,5,1,8,48,16
Vishnu Swaminathan,1.666666667,3,6,48.83333333,8,8,8.666666667,257,42.83333333
Vishwanath Muniyappa,0,2,1,0,0,0,0,0,0
Vishwanath Natarajan,3,38,3,53,4,3,1,51,17
Vishwanath Raman,2.25,10.25,4,74.25,8,6,7.25,283,70.75
Vishwani D. Agrawal,8.53125,12.75,34,141.4375,41,119,5.78125,5882,173
Vishwas Sundaramurthy,1,2,1,14,1,1,0,18,18
Vishy Tolety,1,2,1,38,1,1,0,72,72
Visvanathan Subramanian,1,3,1,38,1,0,0,2,2
Visvesh S. Sathe,1.666666667,10.66666667,3,28.66666667,2,2,4.666666667,33,11
Viswanath Krishnamurthy,1,14.5,2,26,1,1,0.5,12,6
Viswanath Ramachandran,1.5,2.25,8,41,5,3,0,61,7.625
Viswanath Sairaman,1,2,1,12,1,0,0,1,1
Viswanath Venkatesan,1,13.5,2,26,2,1,3.5,16,8
Viswanathan Lakshmi Prabha,1,0.666666667,3,15,0,0,0,0,0
Viswesh Parameswaran,1,5,1,16,1,0,4,6,6
Vitali A. Morozov,0,54,1,0,0,0,0,0,0
Vitali Morozov,0,11,1,0,0,0,0,0,0
Vitali Sokhin,0,6,1,0,0,0,0,0,0
Vitalij Ocheretnij,2.142857143,6,7,29,7,4,1.285714286,88,12.57142857
Vitaliy Feoktistov,2,1,1,45,2,1,0,66,66
Vitaliy Gleyzer,0,12,1,0,0,0,0,0,0
Vitaly Osipov,1,26,1,15,1,1,0,31,31
Vitaly Shmatikov,4.545454545,9.454545455,11,156.2727273,34,45,25.36363636,3230,293.6363636
Vitaly V. Mikheev,1.333333333,4.333333333,3,18.66666667,3,1,2,20,6.666666667
Vittorio Bil\xc3\xb2,3.666666667,14.33333333,6,84.16666667,7,5,11.66666667,175,29.16666667
Vittorio Rosato,1.272727273,5.090909091,13,31.90909091,4,4,0.454545455,119,9.153846154
Vittorio Scarano,4.857142857,19.64285714,16,90.35714286,15,23,7.714285714,579,36.1875
Vittorio Zaccaria,4.142857143,33.28571429,9,88.28571429,13,16,19.57142857,591,65.66666667
Vittorio Zecca,2,3.25,6,60.75,5,2,5,70,11.66666667
Vitus J. Leung,1.333333333,5.777777778,13,49.66666667,8,8,3.555555556,286,22
Viv Woods,1,8,1,50,1,1,4,60,60
Vivek Chaturvedi,0,10,1,0,0,0,0,0,0
Vivek Chickermane,1.461538462,6.230769231,19,29.61538462,11,12,1.615384615,572,30.10526316
Vivek D. Tovinakere,0,4,1,0,0,0,0,0,0
Vivek De,4.692307692,30.07692308,13,109.2307692,28,44,8.769230769,4111,316.2307692
Vivek Deshpande,0,4,1,0,0,0,0,0,0
Vivek Garg,1.5,3.333333333,14,35.83333333,3,1,1,24,1.714285714
Vivek J. Kozhikkottu,0,14,1,0,0,0,0,0,0
Vivek Joshi,1.666666667,15.66666667,3,38,4,4,20,83,27.66666667
Vivek K. De,1.333333333,23.33333333,11,32.33333333,4,2,0,78,7.090909091
Vivek K. Natarajan,1,2,1,50,1,1,14,56,56
Vivek Kale,0,17,1,0,0,0,0,0,0
Vivek Nirkhe,1.2,1.6,6,25.6,5,3,2.4,139,23.16666667
Vivek Pandey,1,4.333333333,3,64,3,3,8.666666667,186,62
Vivek Pawar,1,5,1,12,1,0,0,2,2
Vivek Raghavan,1.25,3.25,12,36.25,4,4,1,174,14.5
Vivek Rai,1.666666667,6.333333333,5,63,5,5,15.33333333,506,101.2
Vivek S. Nandakumar,0,6,1,0,0,0,0,0,0
Vivek Sarin,2.7,5.3,11,73.7,7,6,2.7,147,13.36363636
Vivek Sarkar,4.045454545,18.13636364,23,96.04545455,40,62,24.95454545,6667,289.8695652
Vivek Seshadri,0,12,1,0,0,0,0,0,0
Vivek Sharma,1.833333333,12.33333333,15,40.83333333,6,5,3.5,389,25.93333333
Vivek Singh,1.8,8,17,38.2,5,5,3.2,603,35.47058824
Vivek Subramanian,1,7,2,12,1,1,0,12,6
Vivek T. D,0,2,1,0,0,0,0,0,0
Vivek Tiwari,2.076923077,5.923076923,13,48.07692308,17,19,4.307692308,6824,524.9230769
Vivek V. Shende,1.6,4.2,5,36.8,7,7,4,737,147.4
Vivek Venkataraman,1,2,1,12,1,0,0,1,1
Vivekanand Korgaonkar,1,5,1,21,1,1,21,14,14
Vivekanand Vellanki,1,1,1,37,1,1,0,33,33
Vivekananda M. Vedula,2.166666667,5.833333333,9,32.5,8,7,5.333333333,157,17.44444444
Vivian R. Lamb,2,6,1,64,1,1,0,12,12
Vivy Suhendra,1.75,8,5,35.25,6,6,16.5,258,51.6
Vjiay Karthik Sankar,0,9,1,0,0,0,0,0,0
Vl. V. Saposhnikov,1.8,5.4,9,25,5,3,0.4,97,10.77777778
Vlad Mihai Sima,1,21.5,2,20,2,0,0,11,5.5
Vlad Nae,2.5,25,2,43.5,3,1,29,53,26.5
Vlad Petric,1.5,2.5,4,72,3,2,14,49,12.25
Vlad-Mihai Panait,1,2,1,21,0,0,8,0,0
Vladik Kreinovich,15.16666667,26.66666667,21,261.9444444,22,52,4.055555556,2123,101.0952381
Vladimir B. Bajic,4.25,20.375,9,159.125,12,13,0.875,677,75.22222222
Vladimir Castro Alves,1.555555556,5.111111111,12,26.33333333,8,7,0,262,21.83333333
Vladimir D. Zivkovic,1,2,2,21.5,1,1,2.5,22,11
Vladimir Gapeyev,1.2,2.6,7,20.6,5,5,3.2,211,30.14285714
Vladimir Getov,2.9375,8.5,18,60.5,12,17,1.1875,750,41.66666667
Vladimir Kiriansky,1,3,7,27.66666667,3,3,14,506,72.28571429
Vladimir Kotlyar,1.5,4.75,13,31.625,10,10,2.125,614,47.23076923
Vladimir Koval,1,2.5,11,18,1,1,0,22,2
Vladimir Ostrovsky,1.166666667,2.833333333,7,13.33333333,3,0,1,17,2.428571429
Vladimir Pasca,1,29,1,11,0,0,10,0,0
Vladimir Pavlovic,4.416666667,14.33333333,13,213.8333333,21,30,5.666666667,2997,230.5384615
Vladimir Petrov,0,3,1,0,0,0,0,0,0
Vladimir Rozic,0,28,1,0,0,0,0,0,0
Vladimir Rychkov,2.5,17,2,52.5,3,1,15,30,15
Vladimir Shestak,3,26.5,4,66,8,7,18,178,44.5
Vladimir Shurbanov,2,6.333333333,6,54.83333333,7,3,0.666666667,111,18.5
Vladimir Stojanovic,2.571428571,30.28571429,11,82.28571429,10,10,7,459,41.72727273
Vladimir Surkov,1,1.5,2,82,1,1,2,23,11.5
Vladimir Sz\xc3\xa9kely,1.727272727,5.545454545,13,64.27272727,9,9,1.363636364,313,24.07692308
Vladimir Tiourin,1,4.666666667,6,26.33333333,2,2,6.333333333,43,7.166666667
Vladimir Todorov,1.5,10.5,5,28,2,0,0.75,12,2.4
Vladimir Uzelac,0,12,1,0,0,0,4,0,0
Vladimir V. Sukharev,2,12,1,38,2,1,6,17,17
Vladimir Zolotov,6.777777778,34.11111111,9,172,33,49,35.66666667,3361,373.4444444
Vladislav N. Aseev,1,4,1,38,0,0,0,0,0
Vlado Handziski,1.2,6.6,5,33,5,5,9,249,49.8
Vlado Keselj,2.555555556,9.777777778,11,57.88888889,7,7,5.555555556,334,30.36363636
Vlado Vorisek,1,1.666666667,6,21.66666667,2,1,0.333333333,17,2.833333333
Voicu Popescu,3,9.4,11,103.7,11,14,16.5,441,40.09090909
Vojin Jovanovic,0,12,1,0,0,0,0,0,0
Vojin Zivojnovic,1.8,4.6,7,53.6,7,7,3.4,467,66.71428571
Vojtech Derbek,1.5,6,6,24,2,2,0.5,36,6
Vojtech Salajka,0,3,1,0,0,0,0,0,0
Volkan Akcelik,1,6.6,5,30.6,4,3,2.6,242,48.4
Volkan Esen,2.5,14.5,5,36,3,3,0.25,40,8
Volkan Kursun,6.857142857,14.71428571,7,142.8571429,16,23,12.42857143,954,136.2857143
Volker Aue,1,4,1,13,1,0,0,2,2
Volker B\xc3\xbcrsgens,1,4,1,32,1,1,1,88,88
Volker Baumgarten,1.5,5.5,2,30.5,3,2,0,345,172.5
Volker Braun,2.571428571,10.42857143,8,49.71428571,9,9,0.142857143,260,32.5
Volker Breuer,1,9,1,54,1,0,0,2,2
Volker Gl\xc3\xb6ckel,0,7,1,0,0,0,0,0,0
Volker Gloeckel,2,4,1,61,1,1,6,13,13
Volker Greive,1,6,1,32,1,1,8,21,21
Volker Hampel,1.666666667,5,3,25.66666667,3,2,0,38,12.66666667
Volker Hatz,2.5,3,2,27,2,0,0,8,4
Volker Henkel,1,2.5,7,19.5,1,0,0,4,0.571428571
Volker Herbig,1,4,1,34,0,0,0,0,0
Volker Levering,1,3,1,12,1,0,0,3,3
Volker Meyer,1.2,8.2,7,17.6,4,2,1,234,33.42857143
Volker Meyer zu Bexten,1,6.5,3,14,1,0,2.5,4,1.333333333
Volker Sander,1.444444444,4.888888889,9,38.66666667,7,7,2.333333333,783,87
Volker Sch\xc3\xb6nknecht,1,15,1,34,1,1,4,12,12
Volker Schatz,1,6.5,2,29,2,2,0,34,17
Volker Strehl,1.125,0.875,30,21,8,6,0,177,5.9
Volker Strumpen,1.636363636,4.454545455,15,36.27272727,9,9,5.818181818,1505,100.3333333
Volker Tresp,3.894736842,13.94736842,19,147.4736842,31,52,9.894736842,2940,154.7368421
Volker Turau,2.411764706,4.823529412,21,43.88235294,12,13,2.647058824,449,21.38095238
Volker Winterstein,2,2,1,53,1,0,9,7,7
Volkmar Sieh,1.285714286,4.428571429,14,28.28571429,6,5,1.285714286,219,15.64285714
Volnei A. Pedroni,1.6,3.6,14,40,2,0,0,8,0.571428571
Volodymyr Burkhay,1,3,1,34,1,1,4,15,15
Volodymyr Kuznetsov,0,7,1,0,0,0,0,0,0
Volodymyr V. Kindratenko,2.333333333,10.55555556,14,56.77777778,10,10,1.333333333,549,39.21428571
Vu Duong,3,11.85714286,9,46.71428571,8,7,1,282,31.33333333
Vu Le,1.714285714,8.857142857,7,34.28571429,3,2,0.714285714,119,17
Vu Manh Tuan,3,8,3,55.33333333,3,1,4,38,12.66666667
Vugranam C. Sreedhar,2.071428571,6.5,16,56.64285714,16,18,18.78571429,2138,133.625
Vwani P. Roychowdhury,5.736842105,12.84210526,20,290.2631579,30,57,5.105263158,3324,166.2
Vyacheslav N. Yarmolik,2.125,5.25,14,35.375,8,8,6,318,22.71428571
Vyacheslav Petukhin,1.5,1.25,7,21.25,1,0,0,2,0.285714286
Vyas Krishnan,1.666666667,2.333333333,3,26.66666667,3,2,1.333333333,53,17.66666667
Vyas Venkataraman,2,22,1,58,2,2,5,22,22
Vytautas Stuikys,2.125,4.375,11,32.25,7,4,7.875,152,13.81818182
W. A. Bristol,1,1,1,32,0,0,0,0,0
W. A. Crossland,1,6,1,34,1,1,2,10,10
W. A. J. Waller,1,1.666666667,5,15.33333333,2,0,0,12,2.4
W. Ahmed,1,10,1,34,1,1,12,16,16
W. Amendola Jr.,1,2,1,12,0,0,0,0,0
W. Auld,2,12,1,47,2,2,0,138,138
W. B. Barker,1,1,21,20.33333333,0,0,0,0,0
W. B. Cocks,1,4,1,18,1,1,0,57,57
W. B. Toms,1,3.666666667,4,12.33333333,3,1,0,102,25.5
W. Ballin,1,0.5,5,8,0,0,0,0,0
W. Barrett,2.2,21.2,13,52.9,15,17,3.3,1655,127.3076923
W. Bruce Culbertson,1.2,8.7,11,27.5,9,9,5.1,722,65.63636364
W. C. Fischer,1,3.5,8,35,2,1,0,32,4
W. Chan,3,27.46666667,20,85.46666667,16,22,8.8,1924,96.2
W. Cowley,1,4,1,38,1,1,0,10,10
W. D. Krauss,0,10,1,0,0,0,3,0,0
W. De Rammelaere,1,4.5,11,34,1,0,1,4,0.363636364
W. E. Gull,2,2,1,93,2,1,3,38,38
W. E. Pickrell,1,0,1,32,0,0,0,0,0
W. Eric Hall,1,2.333333333,16,33.33333333,3,3,2,109,6.8125
W. Ewald,1,2,1,32,1,1,7,21,21
W. F. Michail,1,2,1,32,0,0,0,0,0
W. Feng,1.2,6,17,19.8,3,3,1.4,43,2.529411765
W. Ferguson,1,4,1,32,0,0,0,0,0
W. G. Cage,1,1,1,32,1,0,0,4,4
W. G. Morris,1,0,1,42,1,1,4,44,44
W. G. Rosocha,1,1,1,50,0,0,5,0,0
W. Glauert,1.25,3.25,23,35.5,2,2,1.5,29,1.260869565
W. Grunewald,1,1,1,50,1,0,2,2,2
W. H. Evans,1,2,1,32,0,0,0,0,0
W. H. Ki,1,3,1,32,1,0,0,1,1
W. H. Sass,1,0,1,32,0,0,0,0,0
W. Heil,1,3,16,14,1,0,0,6,0.375
W. Herden,1.5,5,14,20,1,0,0,1,0.071428571
W. Heyns,1,1,1,32,1,0,0,2,2
W. Ho,3.9,16.4,38,114.6333333,28,58,7.433333333,4619,121.5526316
W. Humphrey,1,6,5,28,2,1,0,18,3.6
W. J. Bainbridge,1.333333333,5.166666667,7,16.66666667,8,7,0.5,419,59.85714286
W. J. Guillaume,1,1,1,32,0,0,0,0,0
W. J. L. McCready,1,1,1,32,0,0,0,0,0
W. J. M. Smits,1.666666667,9.333333333,6,54,3,3,4,375,62.5
W. J. Munro,1.333333333,5.333333333,3,30,3,3,11.33333333,58,19.33333333
W. Jean Sherman,1,0,1,32,0,0,0,0,0
W. Joubert,0,5,1,0,0,0,0,0,0
W. K. Al-Assadi,2,4,1,40,2,1,0,40,40
W. K. Anderson,1,4,1,37,1,1,0,104,104
W. K. Chou,1,2,16,19.66666667,1,1,0.333333333,14,0.875
W. K. Kal,1,1,1,25,1,0,3,3,3
W. K. Luk,1.5,6,15,32,4,1,0,59,3.933333333
W. K. Wong,1.5,14.625,25,40.5,7,7,3.875,254,10.16
W. Kent Fuchs,5.428571429,9.571428571,23,148.3809524,36,75,10.71428571,3571,155.2608696
W. Khamisani,1,3,1,12,1,1,0,21,21
W. Kisselmann,1,6,1,34,0,0,0,0,0
W. Kline,1,2,1,32,1,1,0,20,20
W. Koch,1.25,4.75,26,25.75,1,1,0,122,4.692307692
W. Kr\xc3\xa4mer,1,1.75,30,12.5,2,1,0,23,0.766666667
W. Kraus,1,2.75,17,35.25,3,2,1.75,255,15
W. Kuang,1.5,4,5,24.5,2,0,0,10,2
W. L. Bain Jr.,1,1,1,50,1,1,0,14,14
W. Lafi,0,8,1,0,0,0,0,0,0
W. Laughton,1,2,1,32,0,0,0,0,0
W. Lawrence Hill,1,4,1,32,0,0,0,0,0
W. Lawrenz,2,3,1,16,2,0,0,5,5
W. Lee,2.352941176,16.64705882,26,65.52941176,11,11,12.64705882,1131,43.5
W. Leslie,1,3,1,37,0,0,0,0,0
W. Li,5.208333333,26.54166667,28,121.5,23,42,3.666666667,2193,78.32142857
W. Lin,2.294117647,11.17647059,24,59.11764706,9,9,1.117647059,272,11.33333333
W. Lloyd Elwood,1,2,1,32,1,1,2,39,39
W. Luk,1,17,1,18,1,1,0,19,19
W. M. Barnes,1,0,1,32,0,0,0,0,0
W. M. Budney,1,1,1,32,1,0,0,3,3
W. M. Fisher,1,2,1,32,1,0,1,6,6
W. M. Kruijtzer,1.2,7,7,33.2,3,3,2,375,53.57142857
W. M. Young,0,4,1,0,0,0,0,0,0
W. Murray,2.333333333,5,20,103.6666667,4,4,0,173,8.65
W. Neville Holmes,4.055555556,0.277777778,35,125.9444444,6,2,1.055555556,124,3.542857143
W. P. M. van der Linden,1,3,1,32,0,0,0,0,0
W. P. Meuli,1,2,1,32,1,1,0,17,17
W. Prochazka,1,13,1,11,0,0,0,0,0
W. R. Read Jr.,1,5,1,32,0,0,0,0,0
W. Radermacher,1,8,1,34,0,0,3,0,0
W. Rahajandraibe,1,5,1,34,0,0,0,0,0
W. Reck,1.333333333,4.666666667,8,26,2,0,0,12,1.5
W. Rhett Davis,1.333333333,13.33333333,6,27.16666667,5,3,2.833333333,462,77
W. Schneider,1.166666667,3.666666667,29,16,1,1,0.166666667,18,0.620689655
W. Scott,2,18.71428571,18,44.28571429,7,6,7.714285714,1227,68.16666667
W. Scott Lee,1,19,1,32,1,0,3,2,2
W. Shields Neely,2,1,1,43,0,0,0,0,0
W. Shivani,1,5,1,38,1,0,0,3,3
W. Smith,4.041666667,12.41666667,45,93.91666667,30,57,8.166666667,3600,80
W. Stephen Adolph,1,1,11,28,1,1,1,38,3.454545455
W. T. Davis,1,3,1,32,0,0,0,0,0
W. Theissen,1,2,1,8,0,0,0,0,0
W. Vendraminetto,1,5,1,34,1,0,2,4,4
W. Vercruysse,1,32,1,32,1,0,0,8,8
W. W. Lee,1,1.333333333,6,28.66666667,1,0,0,3,0.5
W. W. Molzen,1,6,1,32,1,1,4,89,89
W. W. S. Chu,1,4,1,34,1,0,5,8,8
W. Wang,2,7.777777778,21,66.33333333,17,19,4.5,1291,61.47619048
W. Winckelmans,1,5,1,37,1,1,0,42,42
W. Witzel,1,1,5,6,1,0,0,3,0.6
W. Y. Yueh,1,4,1,50,1,0,0,2,2
W. Yang,1.9,11.7,13,47.6,9,7,4.5,340,26.15384615
W. Zhan,1.333333333,15.5,28,40,4,3,0,83,2.964285714
W.-C. Wu,1.5,5.5,6,38.5,2,1,9,28,4.666666667
W.-J. Lue,1.5,1.5,3,34.5,1,1,3.5,13,4.333333333
Wa\xc3\xabl Noureddine,1.333333333,3,6,53.66666667,3,3,6.333333333,93,15.5
Wade Trappe,9.857142857,45.42857143,7,321.5714286,30,51,29.57142857,4118,588.2857143
Wael Abd-Almageed,2.4,8.4,7,66.4,8,7,5,127,18.14285714
Wael Adi,1.571428571,4.714285714,25,25.28571429,1,0,3.142857143,10,0.4
Wael Hegazy,1,1,3,38.5,2,2,0.5,43,14.33333333
Wael Kdouh,1,7,1,38,0,0,0,0,0
Wael M. Badawy,6.1,15,10,130.1,13,20,2.5,500,50
Wael R. Elwasif,1.285714286,11.85714286,11,31.28571429,5,4,4.714285714,382,34.72727273
Wael Refaai,1,4,1,35,1,1,0,19,19
Wagdy H. Mahmoud,1,1.5,4,11,1,0,0,1,0.25
Wagner Meira Jr.,8.833333333,57.25,12,167.1666667,20,40,32.66666667,1923,160.25
Waheed Ahmed,0,20,1,0,0,0,0,0,0
Wahid Chrabakh,1.333333333,1.333333333,5,30.33333333,4,3,10.66666667,96,19.2
Wahid Nasri,1.142857143,3.428571429,8,25.42857143,2,0,0,12,1.5
Wai Gen Yee,3.666666667,10.88888889,9,95.66666667,10,10,17,353,39.22222222
Wai Ho Mow,4.090909091,12.63636364,15,187.6363636,14,16,0.454545455,904,60.26666667
Wai Hong Ho,1,1,4,35.5,2,2,5.5,125,31.25
Wai Sum Mong,2,4,1,66,2,1,8,20,20
Wai Yip Lum,1.666666667,1.666666667,4,42,5,3,4,169,42.25
Wai-Ching Douglas Lam,1.333333333,3,4,26.66666667,4,2,6.666666667,73,18.25
Wai-Chiu Wong,1,2,1,34,0,0,0,0,0
Wai-Chung Tang,1.333333333,11.66666667,4,29.33333333,3,0,9.333333333,20,5
Wai-Kei Mak,2.066666667,5.066666667,19,43,13,16,7.466666667,1004,52.84210526
Wai-Mee Ching,1.625,2.375,15,26,6,6,7.75,208,13.86666667
Wai-Meng Chew,1,2,2,22.5,2,1,0,14,7
Wai-Shing Luk,1.6,8.4,15,32.8,4,1,2.8,122,8.133333333
Wai-Yeung Yip,1,3,1,25,0,0,0,0,0
Wai-chee Wong,1,2,1,25,0,0,0,0,0
Wai-on Law,1,3,10,20.5,1,0,0,7,0.7
Waibhav Tembe,1.5,9.333333333,9,46.33333333,5,4,6.166666667,108,12
Waiman Chan,1,4,4,23,3,3,0,230,57.5
Wajahat Qadeer,1,22,5,24,2,1,24.5,43,8.6
Wajid Hassan Minhass,0,5,1,0,0,0,0,0,0
Waldemar Horwat,1.5,11.5,12,51.5,5,5,4.25,612,51
Walden C. Rhines,1.25,4,14,31.75,3,0,0,12,0.857142857
Walden Ko,1,2.333333333,6,19,2,0,1.333333333,8,1.333333333
Waldir Ribeiro Pires J\xc3\xbanior,1,5,1,38,1,1,0,60,60
Waldo George Magnuson Jr.,1,0,1,32,0,0,0,0,0
Waleed Alsalih,4.5,21,4,95.5,5,4,2,74,18.5
Waleed Meleis,2.181818182,6.636363636,15,61.27272727,10,11,8.272727273,310,20.66666667
Walfredo Cirne,4.8,21,10,91.6,22,34,18.1,2488,248.8
Walid A. Abu-Sufah,1.5,2.333333333,9,52,6,6,1.333333333,266,29.55555556
Walid A. Najjar,4.523809524,15,22,99,28,59,17.47619048,2658,120.8181818
Walid Elgharbawy,1.666666667,3.333333333,4,39,3,1,0.666666667,29,7.25
Walid Ibrahim,2.5,9,6,45,5,3,5.5,57,9.5
Walid Maroufi,1,2,3,25.33333333,2,2,8.333333333,69,23
Walid Naifer,1.5,3,4,97,3,0,0,13,3.25
Walid Najjar,0,5,1,0,0,0,0,0,0
Walid Taha,3.416666667,11.33333333,12,62.91666667,22,31,25.58333333,1763,146.9166667
Wallace B. St. John,1,1,1,37,0,0,0,0,0
Wallace Feurzeig,1,1.5,36,55,2,1,0,27,0.75
Walling R. Cyre,2.444444444,2.111111111,14,37.77777778,8,6,4.444444444,158,11.28571429
Walt Truszkowski,3.666666667,10.5,18,58.25,13,17,1.666666667,451,25.05555556
Walter A. Burkhard,1.4,1.433333333,38,48.76666667,16,25,2.766666667,1481,38.97368421
Walter Anheier,1.666666667,4.5,16,19.75,7,4,1.583333333,123,7.6875
Walter B. Ligon III,2,4.533333333,16,50.66666667,11,12,4.2,462,28.875
Walter Binder,8.125,44.5,8,164.125,19,32,53.125,1092,136.5
Walter C. Dietrich Jr.,1.25,6.25,9,31,3,1,0.25,51,5.666666667
Walter Daems,1.5,4,7,45.66666667,8,7,2.666666667,260,37.14285714
Walter De Raedt,2,21.33333333,4,39,4,1,6.333333333,33,8.25
Walter E. Baker,1,2,9,29.5,1,1,4,257,28.55555556
Walter E. Partlo,0,8,1,0,0,0,0,0,0
Walter F. Tichy,3.851851852,7.851851852,30,88.92592593,30,54,8.518518519,4949,164.9666667
Walter Fontana,2.25,9.25,15,51.25,6,6,6.5,479,31.93333333
Walter Fu\xc3\x9f,1,0,1,34,0,0,0,0,0
Walter G. Rudd,3.5,5,2,80.5,2,1,0.5,49,24.5
Walter Gora,1.75,1.25,4,17.5,1,0,0,3,0.75
Walter Guggenb\xc3\xbchl,1.25,3.75,9,26.75,3,1,0.5,40,4.444444444
Walter H. Burkhardt,1.125,0.125,30,37.5,3,1,1.625,27,0.9
Walter H. Ku,1.9,4.8,15,71.1,9,9,1.8,301,20.06666667
Walter H. Tibboel,1,2.5,13,38.5,2,1,3.5,23,1.769230769
Walter Hansch,1.666666667,8,5,35.66666667,3,1,0,27,5.4
Walter Hartong,2,3.5,4,55,2,2,0.5,112,28
Walter Heyns,1,4,28,26.25,3,1,0.25,63,2.25
Walter Huang,1,4,5,23.66666667,3,1,0,27,5.4
Walter J. Mazur,1,7,1,38,1,0,0,1,1
Walter J. Samek,1,0,1,32,0,0,0,0,0
Walter J. Scheirer,1.333333333,15.66666667,3,52.66666667,3,1,3.333333333,71,23.66666667
Walter James Condley,0,6,1,0,0,0,0,0,0
Walter Kirchg\xc3\xa4ssner,1,3.75,7,12.5,2,2,0.5,63,9
Walter L. Heimerdinger,1.2,3.4,30,35.6,2,1,0,26,0.866666667
Walter L. Hill,1.333333333,3,4,51,4,4,16,1039,259.75
Walter L. Ruzzo,1.857142857,4.607142857,34,72.5,26,37,1.285714286,5850,172.0588235
Walter Lee,1.555555556,9.555555556,22,48.44444444,13,13,11.22222222,2895,131.5909091
Walter Lee McKnight,1,2,1,32,1,0,0,1,1
Walter M. Anderson,1,0,1,32,0,0,0,0,0
Walter M. Lindermeir,1,1.5,5,29,4,4,3.25,123,24.6
Walter M. Lioen,1,6.5,9,32.5,2,2,3.5,187,20.77777778
Walter Ng,1,7.5,4,32,0,0,0,0,0
Walter Parks Goodwin,1,1,1,37,0,0,0,0,0
Walter Phillips,1,3,1,18,1,1,16,30,30
Walter Rei,1,13.75,23,20.75,3,2,0.75,55,2.391304348
Walter S. Brainerd,1.285714286,0.714285714,39,51.71428571,4,3,0,332,8.512820513
Walter S. Reed,1,1,1,32,1,0,0,2,2
Walter S. Scott,1.333333333,2.333333333,5,42.66666667,4,3,0,137,27.4
Walter Schneider,2.333333333,14,15,38,2,2,5.333333333,254,16.93333333
Walter Scott,2,11,1,43,1,1,4,12,12
Walter Stechele,4.111111111,24.44444444,12,79.66666667,12,15,2,479,39.91666667
Wan Fokkink,5.882352941,18.88235294,18,153.5294118,24,62,17.29411765,2099,116.6111111
Wan Ho Song,1,7,3,80,1,0,0,8,2.666666667
Wan-Chen Lu,2.5,10,4,55,5,0,8,48,12
